[03/Jan/2014:16:32:08] (admin) ///// Begin Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) ///// Start Listings Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) (Step 1) $this->connect()

[03/Jan/2014:16:32:09] (admin) (Step 2) First Time Sync

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Cache Mode = 

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Retrieved Master List Load From service->Search (ID=*)

[03/Jan/2014:16:32:09] (admin) Retrieved Master List Results Total:4178

[03/Jan/2014:16:32:09] (admin) Last Update Not Found Syncing All Data. Total Records: 4178

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392484218/12/2013 7:51:39 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392484118/12/2013 7:51:35 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389958217/12/2013 8:31:17 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381539105/12/2013 11:25:11 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1359649220/12/2013 7:55:33 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392483018/12/2013 8:53:26 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392482919/12/2013 9:07:31 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1333549810/11/2013 11:47:59 AM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1375644610/11/2013 3:27:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385747117/11/2013 7:51:35 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392482219/12/2013 7:50:57 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381537410/11/2013 12:20:15 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386588521/11/2013 8:39:52 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385746405/12/2013 9:27:00 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1379011105/12/2013 8:52:49 PM

